Date,Day,HighTemp,LowTemp,Precipitation,Brooklyn_Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
2017/6/1,Thursday,78.1,62.1,0.00,"3,468","7,328","8,461","6,184","25,441"
2017/6/2,Friday,73.9,60.1,0.01,"3,271","7,007","7,968","5,293","23,539"
2017/6/3,Saturday,72.0,55,0.01,"2,589","4,510","6,210","4,084","17,393"
2017/6/4,Sunday,68.0,60.1,0.09,"1,805","3,127","4,023","3,023","11,978"
2017/6/5,Monday,66.9,60.1,0.02,"2,171","4,552","5,276","3,359","15,358"
2017/6/6,Tuesday,55.9,53.1,0.06,"1,193","3,021","3,807","2,572","10,593"
2017/6/7,Wednesday,66.9,54,0.00,"3,211","7,180","7,632","5,072","23,095"
2017/6/8,Thursday,68.0,59,0.00,"3,253","7,083","7,778","5,288","23,402"
2017/6/9,Friday,80.1,59,0.00,"3,401","6,859","7,744","5,155","23,159"
2017/6/10,Saturday,84.0,68,0.00,"3,066","5,193","6,391","4,425","19,075"
2017/6/11,Sunday,90.0,73,0.00,"2,465","4,388","5,153","3,178","15,184"
2017/6/12,Monday,91.9,77,0.00,"2,854","6,265","7,049","5,032","21,200"
2017/6/13,Tuesday,93.9,78.1,T,"2,882","6,141","7,155","5,399","21,577"
2017/6/14,Wednesday,84.0,69.1,0.29,"2,596","5,630","6,619","5,152","19,997"
2017/6/15,Thursday,75.0,66,0.00,"3,510","7,854","8,652","6,344","26,360"
2017/6/16,Friday,68.0,66,0.00,"2,054","4,857","5,783","4,474","17,168"
2017/6/17,Saturday,73.0,66.9,1.39,"1,399","2,633","3,439","2,977","10,448"
2017/6/18,Sunday,84.0,72,T,"2,199","4,014","4,901","3,396","14,510"
2017/6/19,Monday,87.1,70,1.35,"1,648","3,553","4,334","3,552","13,087"
2017/6/20,Tuesday,82.0,72,0.03,"3,407","7,473","7,975","6,091","24,946"
2017/6/21,Wednesday,82.0,72,0.00,"3,304","7,416","8,754","6,159","25,633"
2017/6/22,Thursday,82.0,70,0.00,"3,368","7,624","8,307","6,289","25,588"
2017/6/23,Friday,82.9,75.9,0.04,"2,283","4,683","5,611","4,330","16,907"
2017/6/24,Saturday,82.9,71.1,1.29,"2,307","3,933","5,214","3,396","14,850"
2017/6/25,Sunday,82.0,69.1,0.00,"2,625","4,882","5,727","4,197","17,431"
2017/6/26,Monday,78.1,66,0.00,"3,386","7,217","7,974","5,845","24,422"
2017/6/27,Tuesday,75.9,61,0.18,"3,182","7,317","6,501","5,580","22,580"
2017/6/28,Wednesday,78.1,62.1,0.00,"3,766","8,239","8,873","5,834","26,712"
2017/6/29,Thursday,81.0,68,0.00,"3,356","7,544","8,276","5,662","24,838"
2017/6/30,Friday,88.0,73.9,T,"2,687","5,890","7,013","4,754","20,344"

